year,sst_north_atlantic,sst_gulf_stream,sst_gulf_mexico,sst_tropical_north_atl
1889,20.88511085510254,19.37640380859375,26.018327713012695,26.3858642578125
1890,20.50786781311035,19.360485076904297,26.337013244628906,25.68938636779785
1891,20.693119049072266,19.083473205566406,25.755386352539062,26.12554931640625
1892,20.569435119628906,18.931522369384766,25.528778076171875,26.00200843811035
1893,20.721450805664062,18.66644287109375,26.05915641784668,26.153989791870117
1894,20.467905044555664,19.416406631469727,26.175994873046875,25.778915405273438
1895,20.59978485107422,19.186767578125,26.306604385375977,26.00246238708496
1896,20.871858596801758,19.322725296020508,26.324316024780273,26.391027450561523
1897,20.800872802734375,19.23979377746582,26.561609268188477,26.36640739440918
1898,20.77263069152832,19.38031578063965,26.205785751342773,26.084341049194336
1899,20.812726974487305,18.95356559753418,26.33791160583496,26.21265411376953
1900,20.763378143310547,19.28497314453125,26.254356384277344,26.327550888061523
1901,20.780607223510742,19.33437156677246,25.703805923461914,26.404333114624023
1902,20.59101104736328,18.6551570892334,25.590484619140625,26.083961486816406
1903,20.43254280090332,18.66270637512207,25.539506912231445,26.046937942504883
1904,20.211177825927734,18.957355499267578,25.72111701965332,25.47083282470703
1905,20.3349552154541,18.664648056030273,25.869497299194336,25.71265983581543
1906,20.58452606201172,19.134443283081055,25.82274055480957,26.07060432434082
1907,20.364648818969727,18.759939193725586,26.110977172851562,25.78986167907715
1908,20.46315574645996,19.143606185913086,25.878089904785156,25.656173706054688
1909,20.417203903198242,18.754680633544922,25.708959579467773,25.92458152770996
1910,20.41306495666504,18.80055046081543,25.363115310668945,25.87360382080078
1911,20.429357528686523,19.093637466430664,26.105186462402344,25.607900619506836
1912,20.360870361328125,18.997678756713867,25.83977508544922,25.776344299316406
1913,20.33058738708496,19.358442306518555,25.670629501342773,25.721038818359375
1914,20.450712203979492,19.20200538635254,25.87552833557129,25.864885330200195
1915,20.908666610717773,19.205121994018555,26.1003360748291,26.490583419799805
1916,20.645368576049805,18.892101287841797,26.13933563232422,25.99091148376465
1917,20.5245304107666,18.772737503051758,25.604761123657227,25.90656852722168
