year,oni_annual,nao_annual,nao_djf,pna_annual,amo_annual
1963,0.6575,-0.4166666666666667,-1.54,-0.018333333333333313,-0.016583333333333335
1964,-0.3416666666666666,-0.04166666666666666,-1.19,-0.21250000000000002,-0.11699999999999999
1965,0.9008333333333334,-0.12999999999999998,-0.835,-0.17166666666666666,-0.1815
1966,0.375,-0.32833333333333337,-1.565,-0.1775,-0.018083333333333337
1967,-0.30666666666666664,0.36666666666666664,-0.35,-0.5683333333333335,-0.12083333333333333
1968,0.135,-0.94,-0.5800000000000001,0.013333333333333345,-0.19033333333333333
1969,0.745,-0.05833333333333334,-1.19,0.47500000000000003,-0.014249999999999999
1970,-0.32,-0.25333333333333324,-0.43,-0.11083333333333333,-0.12716666666666665
1971,-0.94,0.009999999999999995,-0.44499999999999995,-0.35999999999999993,-0.3368333333333333
1972,0.9274999999999999,0.51,0.29500000000000004,-0.5508333333333333,-0.3792499999999999
1973,-0.6175,-0.08666666666666668,0.445,-0.03333333333333333,-0.24216666666666667
1974,-0.8866666666666667,0.18083333333333337,0.6000000000000001,-0.09583333333333333,-0.44749999999999995
1975,-1.0525,-0.07416666666666666,-0.020000000000000018,-0.42500000000000004,-0.3261666666666667
1976,-0.049166666666666664,0.18749999999999997,0.34,0.030833333333333362,-0.39166666666666666
1977,0.5116666666666666,-0.33583333333333326,-0.765,0.3333333333333334,-0.21750000000000003
1978,-0.09833333333333333,0.31750000000000006,-0.77,-0.08000000000000003,-0.20833333333333334
1979,0.25083333333333335,0.13500000000000006,-1.025,0.19416666666666668,-0.13933333333333336
1980,0.25333333333333335,-0.4124999999999999,-0.35,0.24999999999999997,-0.04758333333333333
1981,-0.2683333333333333,-0.2125,0.645,0.23833333333333329,-0.10575
1982,0.9900000000000001,0.43,0.12999999999999995,-0.15833333333333333,-0.242
1983,0.48,0.31,0.53,0.8075,-0.10041666666666665
1984,-0.5058333333333334,0.24749999999999997,1.19,-0.04166666666666672,-0.23750000000000002
1985,-0.5983333333333333,-0.18333333333333332,-1.05,-0.315,-0.29724999999999996
1986,0.25333333333333335,0.5033333333333333,0.05500000000000005,0.20333333333333334,-0.30483333333333335
1987,1.2766666666666666,-0.12249999999999994,-0.94,0.3408333333333333,0.03616666666666666
1988,-0.8108333333333334,-0.013333333333333336,0.89,0.6233333333333333,-0.03558333333333333
1989,-0.605,0.7016666666666667,1.585,-0.4375,-0.1135
1990,0.315,0.5941666666666666,1.225,-0.5008333333333334,-0.06941666666666668
1991,0.6466666666666666,0.2683333333333333,0.95,0.0008333333333333526,-0.16341666666666668
1992,0.6308333333333334,0.5808333333333333,0.47000000000000003,0.31333333333333335,-0.2505
1993,0.3125,0.17916666666666672,1.05,0.4033333333333333,-0.24225
1994,0.47500000000000003,0.5758333333333333,0.75,-0.5216666666666666,-0.20875000000000002
1995,-0.16,-0.08083333333333331,1.035,0.31333333333333335,0.10283333333333333
1996,-0.45999999999999996,-0.2141666666666667,-0.095,-0.32416666666666666,-0.09016666666666667
1997,1.1708333333333334,-0.1566666666666667,0.605,0.25333333333333335,0.01933333333333333
1998,-0.057500000000000016,-0.4808333333333334,0.14,0.4116666666666667,0.3396666666666666
1999,-1.2249999999999999,0.39083333333333337,0.53,0.3458333333333334,0.08491666666666668
2000,-0.8358333333333333,0.20666666666666667,1.15,-0.18416666666666662,-0.004916666666666663
2001,-0.30833333333333335,-0.1825,0.35,0.1675,0.08558333333333334
2002,0.6308333333333334,0.039166666666666704,0.77,0.047499999999999966,0.03133333333333333
2003,0.2508333333333333,0.09749999999999999,0.39,0.09249999999999996,0.19758333333333333
2004,0.4466666666666667,0.24249999999999997,-0.215,0.07416666666666671,0.1724166666666667
2005,0.04083333333333334,-0.2675,0.73,0.7208333333333332,0.25775000000000003
2006,0.07166666666666667,-0.20750000000000002,0.38,-0.1133333333333333,0.23249999999999996
2007,-0.6075,0.1733333333333333,-0.12499999999999999,0.7558333333333334,0.11333333333333333
2008,-0.7816666666666666,-0.37833333333333335,0.81,0.08083333333333333,0.10383333333333335
2009,0.2816666666666667,-0.24333333333333332,0.024999999999999998,0.23,0.004666666666666667
2010,-0.47500000000000003,-1.1525,-1.545,0.6066666666666668,0.31508333333333327
2011,-0.775,0.2933333333333333,-0.09000000000000002,0.005833333333333315,0.06725000000000002
2012,-0.06333333333333334,-0.45583333333333337,0.7949999999999999,-0.2791666666666666,0.17883333333333337
2013,-0.23416666666666666,0.20999999999999996,-0.05000000000000002,-0.29083333333333333,0.13166666666666665
2014,0.205,0.18666666666666668,0.8150000000000001,0.2858333333333334,0.06683333333333334
2015,1.5483333333333331,0.43333333333333335,1.5550000000000002,0.2316666666666667,0.07891666666666668
2016,0.42333333333333334,-0.03833333333333338,0.8500000000000001,0.5058333333333334,0.30750000000000005
2017,-0.11499999999999999,0.22583333333333333,0.74,0.16833333333333333,0.2804166666666667
2018,0.09416666666666669,1.0833333333333333,1.51,0.032499999999999966,0.03349999999999999
2019,0.5750000000000001,-0.3183333333333333,0.43999999999999995,0.2175,0.1390833333333333
2020,-0.27166666666666667,0.29083333333333333,1.3,0.2066666666666667,0.26816666666666666
2021,-0.635,-0.39833333333333326,-0.48500000000000004,-0.13166666666666668,0.22258333333333336
2022,-0.85,0.2791666666666666,1.38,0.18666666666666668,0.24691666666666667
2023,0.9,-0.3283333333333334,1.085,0.24749999999999997,0.192
2024,0.4366666666666667,0.08666666666666666,0.65,0.27499999999999997,
2025,-0.2675,0.025000000000000033,0.54,0.05833333333333329,
2026,-0.13666666666666666,,,,
