station_id,year,tmean_spring,tmean_april,tmean_fall,tmean_october
USC00360022,2011,10.148333333333333,10.916071428571428,12.314285714285715,11.000000000000002
USC00360022,2012,13.5125,9.955000000000002,12.114999999999998,11.946774193548386
USC00360022,2013,9.203846153846154,10.683333333333334,11.280219780219781,12.712903225806452
USC00360022,2014,8.120930232558141,9.065000000000001,10.852380952380951,12.476666666666667
USC00360022,2015,9.212222222222222,10.749999999999998,13.650609756097559,11.162068965517241
USC00360022,2016,10.947093023255816,10.114285714285714,13.236206896551723,13.385483870967743
USC00360022,2017,11.071264367816093,12.898214285714285,12.49835164835165,14.006451612903225
USC00360022,2018,9.312790697674421,8.107407407407408,12.337222222222223,12.069354838709678
USC00360022,2019,10.454347826086956,11.636666666666667,12.097222222222221,13.320967741935485
USC00360022,2020,9.763483146067417,8.32,13.198314606741574,12.411666666666667
USC00360022,2021,10.945555555555556,10.908333333333331,13.256976744186046,15.12241379310345
USC00360022,2022,10.651724137931035,9.320370370370371,11.627272727272729,9.867391304347828
USC00360022,2023,9.973369565217391,11.31166666666667,12.144505494505495,13.129032258064516
USC00360022,2024,12.225,11.951666666666664,14.258219178082191,13.05
USC00360111,1923,8.839673913043478,9.439999999999998,11.57906976744186,10.65925925925926
USC00360111,1924,8.551648351648351,8.655,11.324175824175821,12.440322580645162
USC00360111,1925,9.691304347826087,10.0,11.016111111111112,8.559677419354838
USC00360111,1926,8.303260869565218,8.133333333333333,11.898,14.423333333333334
USC00360111,1927,9.582608695652175,8.998333333333333,13.240659340659342,13.595161290322583
USC00360111,1928,9.440361445783134,8.371666666666668,11.256410256410257,13.032142857142858
USC00360111,1929,10.76153846153846,10.569999999999999,11.811538461538463,10.379032258064516
USC00360111,1930,9.490659340659342,8.435,11.875274725274727,10.464516129032257
USC00360111,1931,9.348369565217393,9.506666666666666,14.582417582417582,13.575806451612902
USC00360111,1932,8.283152173913043,8.195000000000002,11.587912087912088,12.340322580645159
USC00360111,1933,9.672282608695653,9.971666666666666,10.912087912087912,10.761290322580642
USC00360111,1934,8.72391304347826,9.011666666666665,12.11208791208791,10.622580645161289
USC00360111,1935,9.319565217391304,9.238333333333333,12.441758241758242,12.75967741935484
USC00360111,1936,10.898369565217392,8.27,11.974175824175825,12.408064516129034
USC00360111,1937,9.550543478260868,9.335,11.530769230769232,11.054838709677417
USC00360111,1938,10.707608695652175,11.248333333333333,12.33186813186813,13.059677419354841
USC00360111,1939,9.066304347826087,7.62,11.66813186813187,11.670967741935483
USC00360111,1940,7.751630434782609,7.471666666666667,10.652197802197803,9.533870967741937
USC00360111,1941,10.415217391304347,13.301666666666668,13.784615384615385,14.240322580645161
USC00360111,1942,11.201123595505617,11.656666666666668,12.215934065934064,12.41451612903226
USC00360111,1943,8.5875,6.411666666666665,11.162087912087912,11.374193548387096
USC00360111,1944,9.567391304347826,8.121666666666664,11.930769230769231,10.98225806451613
USC00360111,1945,11.704891304347827,11.606666666666667,12.52802197802198,11.606451612903228
USC00360111,1946,11.423369565217389,9.953333333333335,13.901098901098901,14.512903225806452
USC00360111,1947,9.071428571428571,9.824137931034482,13.148351648351648,15.38225806451613
USC00360111,1948,10.417934782608695,10.656666666666666,13.06593406593407,11.458064516129031
USC00360111,1949,10.56304347826087,10.336666666666668,12.68901098901099,15.016129032258066
USC00360111,1950,8.132065217391306,8.151666666666666,12.323626373626373,13.600000000000001
USC00360111,1951,10.296195652173912,10.306666666666667,11.806043956043958,13.29516129032258
USC00360111,1952,10.003260869565219,11.72,11.975824175824178,10.535483870967745
USC00360111,1953,10.67608695652174,10.076666666666666,12.826373626373627,13.459677419354838
USC00360111,1954,10.271195652173912,11.759999999999998,12.753296703296705,14.606451612903228
USC00360111,1955,11.408695652173913,12.01,12.121978021978018,13.369354838709674
USC00360111,1956,8.07445652173913,8.751666666666669,11.479120879120876,12.069354838709677
USC00360111,1957,10.338043478260872,10.951666666666666,12.406043956043957,10.85806451612903
USC00360111,1958,9.440760869565219,10.855,11.689010989010987,10.959677419354836
USC00360111,1959,10.9625,11.385,13.265934065934063,13.906451612903227
USC00360111,1960,8.670108695652175,12.548333333333334,12.312637362637362,11.766129032258064
USC00360111,1961,8.807142857142857,8.059999999999999,14.110989010989012,13.138709677419355
USC00360111,1962,10.345108695652174,10.525,10.684065934065933,12.011290322580644
USC00360111,1963,10.075,10.678333333333335,13.24835164835165,14.608064516129032
USC00360111,1964,10.323369565217392,9.001666666666667,13.059302325581392,10.737096774193546
